OUTLET NAME,MERCHANT NAME,ADDRESS1,ADDRESS2,AREA,CITY,PINCODE,STATE,NEW CATEGORY,ENABLED WITH BQR CODE
New Sky Coffee,Capulus Foods Private Limited,Ground Floor Unit No 07 D2 Southern Park Building Saket,District Center,South Delhi,New Delhi,110017,New Delhi,FAST FOOD,YES
Govind Pansari,Govind Pansari And Co,207 3 1 North Vijay Nagar Colony Sport Buzz Vijay Nagar Colony,Vijay Nagar Colony,Vijay Nagar Colony,Agra,282004,Uttar Pradesh,SUPER MARKET,YES
Govind Pansari,Govind Pansari And Co,Shop No 2 Anthem Street Sector 15 B Awas Vikas Colony,Sector 15 B,Awas Vikas Colony,Agra,282007,Uttar Pradesh,SUPER MARKET,YES
Govind Pansari,Govind Pansari And Co,Vijayanagar Colony Civil Lines,Civil Lines,Civil Lines,Agra,282004,Uttar Pradesh,SUPER MARKET,YES
Govind Pansari,Govind Pansari And Co,Shop No 3 Bright Complex Bain Bazar Sikandra,Sikandra,Sikandra,Agra,282007,Uttar Pradesh,SUPER MARKET,YES
Govind Pansari,Govind Pansari And Co,6 305 Pandit Kali Charan Tiwari Rd Belanganj Tikonia,Belanganj,Belanganj,Agra,282004,Uttar Pradesh,SUPER MARKET,YES
Amrutha Foods,Amrutha Foods,Netcracker Technology Solutions India Private Limited,7th To 11th Floor Block P2 Divyasree Techridge,Manikonda,Hyderabad,500089,Telangana,CANTEEN / CATERERS,YES
Sai General Store,Gunjan,Rz B 24 Raghu Nagar Pankha Road Palm Village,Pankha Road,Raghu Nagar,New Delhi,110045,New Delhi,SUPER MARKET,YES
Sri Venkata Sai Rice Traders,Kamineni Sireesha,Shop No 2419,Old Mig,Rc Puram,Hyderabad,502032,Telangana,SUPER MARKET,YES
Aj Foods,Aj Foods,"C/O Kpmg, 6th Floor Building No 10 Tower C",Cyber City,Cyber City,Gurgaon,122002,Haryana,CANTEEN / CATERERS,YES
Rk Traders,Nitil Kumar,So Kuber Prasad,Gram Pakri Dyal,Pakri Dyal,East Champaran,845428,Bihar,SUPER MARKET,YES
Rk Traders,Nitil Kumar,North,Pakridyal,Pakridyal,East Champaran,845428,Bihar,SUPER MARKET,YES
Rk Traders,Nitil Kumar,Birt,Bandobasati,Pakridyal,East Champaran,845428,Bihar,SUPER MARKET,YES
Rk Traders,Nitil Kumar,Pakridayal,Near Mandir,Pakridyal,East Champaran,845428,Bihar,SUPER MARKET,YES
Bombay Juice,Bombay Juice,Netcracker Technology Solutions India Private Limited,7th To 11th Floor Block P2 Divyasree Techridge,Manikonda,Hyderabad,500089,Telangana,CANTEEN / CATERERS,YES
Slv Juice Point,Veerabhadrappa S Kumbar,Continental Automative India 53 A Cafeteria,Bommasandra Industrial Area Phase1,Hosur Road,Bangalore,560099,Karnataka,CANTEEN / CATERERS,YES
Yo Dim Sim,The Peaceful Hotels And Food,C O Kpmg,8th Floor Building No 10  Tower B,Cyber City,Gurgaon,122002,Haryana,CANTEEN / CATERERS,YES
Yummy Orange Mart,Namma Annapriyum Foods,No 6 Bm,Gardenia Ambattur Main Road Vanagaram,Vanagaram,Chennai,600095,Tamil Nadu,SUPER MARKET,YES
Regal Dry Fruits,Regal Dry Fruits,15 Sardar Gunj Regal Dry Fruts Sardar Gunj,Regal Dry Fruits,Sardargunj,Anand,388001,Gujarat,SUPER MARKET,YES
Dryfruit World,Dryfruit World,Ground Floor Shop No 3,Sai Complex Salunke Vihar Road,Wanwadi,Pune,411040,Maharashtra,SUPER MARKET,YES
Joshi Hotel,Abhijeet Joshi,Shop No 2 Feba Building Plot No 343 345,Sector 19,Belapur,Navi Mumbai,400614,Maharashtra,FAST FOOD,YES
G Natarajan Maligai,G Natarajan Maligai,No 832 Na,Kolluppettai Street East Gate Thanjavur,East Gate,Thanjavur,613001,Tamil Nadu,SUPER MARKET,YES
Shree Ram Kirana,Kanchan Upadhyay,Geeta Colony,Opp Dal Bazar,Lashkar,Gwalior,474009,Madhya Pradesh,SUPER MARKET,YES
Kokan Glory Rd,Rakesh Pannalal Prajapati,Shop No 07 D Holy Complex,Near Co Operation Bank,Mira Road East,Thane,401107,Maharashtra,FAST FOOD,YES
Kokan Glory Rd,Rakesh Pannalal Prajapati,Shop No 55 Indira Market,Opposite Station Road,Bhayander West,Thane,401101,Maharashtra,FAST FOOD,YES
Kokan Glory Rd,Rakesh Pannalal Prajapati,Shop No 01 Madhusudan Society,Near Orange Hospital,Bhayander East,Thane,401105,Maharashtra,FAST FOOD,YES
Madhu Sweets,Tanmoy Barman,Narayanpur School Para,Balurghat,Narayanpur,Balurghat,733101,West Bengal,FAST FOOD,YES
Madhu Sweets,Tanmoy Barman,Hili Balurghat,Highway,Mangalpur,Balurghat,733101,West Bengal,FAST FOOD,YES
Madhu Sweets,Tanmoy Barman,Mandal Para,Battala,Belghoria,Kolkata,700083,West Bengal,FAST FOOD,YES
Madhu Sweets,Tanmoy Barman,Madhusudan Banerjee Rd,Jatindas Nagar,Kolkata,Kolkata,700083,West Bengal,FAST FOOD,YES
Chillout Snacks Shop,Chillout Snacks Shop,8th Floor Food Court,Lulu Cyber 2 Infopark,Kakkanad,Ernakulam,682030,Kerala,FAST FOOD,YES
Chillout Snacks Shop,Chillout Snacks Shop,Phase 1 Backside Near Substation,Carnival Infopark,Kakkanad,Kochi,682042,Kerala,FAST FOOD,YES
Mandi At 365,Shannus Kitchen,Nagarjuna Sagar Road,Omkar Nagar,Hastinapuram,Hyderabad,500074,Telangana,FAST FOOD,YES
Shannus Kitchen,Shannus Kitchen,Nagarjuna Sagar Road,Omkar Nagar,Hastinapuram,Hyderabad,500074,Telangana,FAST FOOD,YES
Ganesh Provision Store,Ganesh Provision Store,527 1 Railway Road Near Ganesh Chowk Ganeshpur,Ganesh Chowk,Roorkee,Roorkee,247667,Uttarakhand,SUPER MARKET,YES
Lama S Spice Hut,Gudla Anil Kumar,Banjara Basthi,Anjaiah Nagar,Gachibowli,Hyderabad,500032,Telangana,FAST FOOD,YES
Lama S Spice Hut,Gudla Anil Kumar,Durga Bhavani Nagar,Womens Welfare Houseing Soiciety,Jubilee Hills,Hyderabad1,500033,Telangana,FAST FOOD,YES
Balaji General Store,Rajat Yadav,219 Bs 2,Scheme No 78,Viajy Nagar,Indore,452010,Madhya Pradesh,SUPER MARKET,YES
Balaji General Store,Rajat Yadav,16 Main Road,Subhash Nagar,Pardesipura,Indore,452011,Madhya Pradesh,SUPER MARKET,YES
Rashan Baazar,Rashan Baazar,Shop No 144 Ward No 7,Sheikhwara,Old Faridabad,Faridabad,121002,Haryana,SUPER MARKET,YES
Shri Krishna Sales,Mitul Garg,Plot No 822 Shop No 4,Shalimar Garden Ext 1,Sahibabad,Ghaziabad,201005,Uttar Pradesh,SUPER MARKET,YES
Shri Krishna Sales,Mitul Garg,Shalimar Garden,Ghazibad Nagar Nigam Zone 1,Sahibabad,Ghaziabad,201005,Uttar Pradesh,SUPER MARKET,YES
Shri Krishna Sales,Mitul Garg,Radha Krishna Road,Ghazibad Zone 1,Sahibabad,Ghaziabad,201005,Uttar Pradesh,SUPER MARKET,YES
Marga Rita Cafe,Arunava Mukherjee,Next To Hdfc Bank Atm Abanindranath,Aayakar Bithi City Centre,City Centre,Durgapur,713216,West Bengal,FAST FOOD,YES
Marga Rita Cafe,Arunava Mukherjee,A1 1 Ssb Sarani Sector 2a Near Raindrop Hotel,Aranyak West Bidhannagar,Bidhannagar,Durgapur,713212,West Bengal,FAST FOOD,YES
Palapitta Ruchulu,Manne Hanumanth,Sri Sai Nilayam,Vinayaka Nagar,Madhapur,Hyderabad,500081,Telangana,FAST FOOD,YES
Ratan Shree,Ayush Soni,215 Sukhdeo Nagar,Main Road,Kalini Nagar,Indore,452005,Madhya Pradesh,SUPER MARKET,YES
Ratan Shree,Ayush Soni,60 Ft Road,Digambar Jain Mandir Road,Digambar Jain Mandir,Indore,452005,Madhya Pradesh,SUPER MARKET,YES
Dolphin Restaurant,Hotel Star View,Saha Ghoshpara,Ward 18,Madhyamgram,Kolkata,700133,West Bengal,FAST FOOD,YES
Dolphin Restaurant,Hotel Star View,Algoria,Govt Colony,Noapara,Kolkata,700125,West Bengal,FAST FOOD,YES
Dolphin Restaurant,Hotel Star View,Talbanda,Bazaar,Sodepur Rd,Kolkata,700110,West Bengal,FAST FOOD,YES
Hotel Star View,Hotel Star View,74 53 Jessore Road,Jessore Road,Jessore Road,Madhyamgram,700127,West Bengal,FAST FOOD,YES
Rmkn Hypermarket,Rmkn Hypermarket,Kh No 323 1 D 3 Main Road Karawal Nagar Dayalpur Extension,North East Delhi,New Delhi,New Delhi,110094,New Delhi,SUPER MARKET,YES
Hotel Jay Maharashtra,Vijay Narayan Gaikwad,Shop No 2 Shivaji Colony Western,Express Highway Metro Station,Andheri East,Mumbai,400099,Maharashtra,FAST FOOD,YES
Green Gourmet Wellness Veg,Savitha S R,Mphasis Limited Bagmane World,Technology Center Marathalli Ring Road,Doddanakundi,Bangalore,560048,Karnataka,CANTEEN / CATERERS,YES
R K M Retail Mart,R K M Retail Mart,1 27 The Royale Complex Main Station Road,Near Ghanta Ghar Sujangarh,Sujangarh,Churu,331507,Rajasthan,SUPER MARKET,YES
Shri Lakshami,Shri Lakshami,Summer Court,Building Magarpatta Next To Seasons Mall,Hadapsar,Pune,411028,Maharashtra,FAST FOOD,YES
88 Cafe,Knb Holidays Private Limited,88 Chowringee Road,Bhawanipur,Bhawanipur,Kolkata,700020,West Bengal,FAST FOOD,YES
Raaj Super Market,Raaj Super Market,No 454 28,Global Hospital Road,Perumbakkam,Chennai,600100,Tamil Nadu,SUPER MARKET,YES
K R Stores,Dhanalakshmi R,32 624,Pipeline Road,Padivattom,Ernakulam,682021,Kerala,SUPER MARKET,YES
Shoba Retails,Shoba Retails,Ground And Basement Floor No 170 2,Horamavu Horamvu Main Road,Kalyan Nagar,Bangalore,560043,Karnataka,SUPER MARKET,YES
Sha Juice House,Samuel Brooke A,Hcl Technologies Ltd 1st Flr Cafe 2,Elcot Sez Campus Medavakkam Road,Sholinganallur,Chennai,600119,Tamil Nadu,CANTEEN / CATERERS,YES
Connex,Connex,Plot No 1 Survey No 169 1 27,Bharat Park Sh 6,Zero Point Circle,Mundra,370421,Gujarat,FAST FOOD,YES
China Valley,China Valley,No 1197 T,Trichy Road,Sungam,Coimbatore,641018,Tamil Nadu,FAST FOOD,YES
Love Momos,Maximum Dream Private Limited,Counter 1 Ground Floor,Shop No 4 70 1 B Main 5th Block,Koramangala,Bangalore,560095,Karnataka,FAST FOOD,YES
Love Momos,Maximum Dream Private Limited,Counter 2 Ground Floor,Shop No 4 70 1 B Main 5th Block,Koramangala,Bangalore,560095,Karnataka,FAST FOOD,YES
Star Juice Centre,Parvez Maqsood Ahmed,Shop No 2  Opp Vardaman Fantasy,Nr Shiver Garden,Miraroad,Thane,401107,Maharashtra,FAST FOOD,YES
House Of Sriash,Suddapally Janaki,Hcl Technologies,Sy No 30 34 35 38 Plot H 01 B Phase 2,Gachibowli,Hyderabad,500081,Telangana,CANTEEN / CATERERS,YES
Bikanerwala Kpmg,Bharti Enterprises,8th Floor Tower B Building No 10,Cyber City,Cyber City,Gurgaon,122002,Haryana,CANTEEN / CATERERS,YES
Sambar Junction,Annapurna Hospitality,Shop No 2 Gr Flr Tulsi Heights Panvel East Raigad,Plot No 1,Sector No 5,Navi Mumbai,410206,Maharashtra,FAST FOOD,YES
Aomori Cafe,Archana Pankaj Mehta,Shop No 8,Plot No 46 47 48 Sector 15,Cbd Belapur,Navi Mumbai,400614,Maharashtra,FAST FOOD,YES
Asif Bakery,Mohammed Nafees Ghirrau Khan,Shop No 01 Opp Tanwar,Nagar Old M P Road Mumbra,Kausa,Thane,400612,Maharashtra,FAST FOOD,YES
Ameya Food And Beverages,Ameya Food And Beverages,Blackberry India Pvt Ltd,Krc Commerzone Hetero Wing,Raidurg,Hyderabad,500032,Telangana,CANTEEN / CATERERS,YES
Flavours Of Africa,Kkm Leisure Llp,764 Kalikapur Road,Purbalok Santoshpur,Kalikapur Road,Kolkata,700099,West Bengal,FAST FOOD,YES
Stories Cafe And Lounge,Stories Cafe And Lounge Private Limited,7th Floor 9 Topsia Road,South Wizard House,Topsia,Kolkata,700046,West Bengal,FAST FOOD,YES
Stories Cafe And Lounge,Stories Cafe And Lounge Private Limited,8th Floor 9 Topsia,Road South Wizard House,Topsia,Kolkata,700046,West Bengal,FAST FOOD,YES
Stories Cafe And Lounge,Stories Cafe And Lounge Private Limited,9th Floor 9,Topsia Road South Wizard House,Topsia,Kolkata,700046,West Bengal,FAST FOOD,YES
Pm Nangal Raya Hypermarket,Pm Nangal Raya Hypermarket,Ground Floor Wz 1390 2 Nangal Raya,West Delhi,New Delhi,New Delhi,110046,New Delhi,SUPER MARKET,YES
Tea Leaves,Rudrakshala Ravindrababu,Kamala Nagar,Rtc Colony,Lb Nagar,Hyderabad,500074,Telangana,FAST FOOD,YES
The Mint Leaf,The Mint Leaf,No 96,Nayara Petrol Pump,Bhuj Mandvi Road,Koday,370460,Gujarat,FAST FOOD,YES
Vm Ashok Vihar Hypermarket,Vm Ashok Vihar Hypermarket,Ground Floor B 2 2 Ashok Vihar Road Near Sagar Ratna Ashok Vihar Phase 2,North West Delhi,New Delhi,New Delhi,110052,New Delhi,SUPER MARKET,YES
Sada Shiv Hospitality And Man Power Supply,Sada Shiv Hospitality And Man Power Supply,Adani Power Bachelor Hostel,Canteen Samundra Township,Adani Sez,Mundra,370421,Gujarat,CANTEEN / CATERERS,YES
Balaji General Store,Balaji General Store,Shyam Complex Murdhawa Opp Padmini Hotel Sonebhadra,Murdhawa,Murdhawa,Renukot,231217,Uttar Pradesh,SUPER MARKET,YES
The Joy Super Mart,The Joy Creations,Begonia Homes,Puppalguda,Gandipet,Hyderabad,500089,Telangana,SUPER MARKET,YES
Sujata Hospitality Services Eaton,Sujata Hospitality Services,Eaton Technologies Cafeteria T 29 31,Midc Bhosari Pimpri Chinchwad,Pimpri Chinchwad,Pune,411026,Maharashtra,CANTEEN / CATERERS,YES
Foodking Kitchen,Yusuf Ashraf Khan,Shop No 1 And 2 Sunrise Apartment,Deccan Gymkhana Road,Karjat,Raigad,410201,Maharashtra,FAST FOOD,YES
Joyful Paestries,Joyful Paestries,Ground Floor No 279 3rd Main Road,Rtos Testing Ground,Peenya,Bangalore,560058,Karnataka,FAST FOOD,YES
Joyful Paestries,Joyful Paestries,Sri Kothari Complex No 309 A 4 41st Cross,Old Police Station Circle 4th Block,Rajajinagar,Bangalore,560010,Karnataka,FAST FOOD,YES
Joyful Paestries,Joyful Paestries,No 208 31 Ambabhavani Temple Road,Opp Sambram College Vidyaranyapura Post,Chikkabetahalli,Bangalore,560097,Karnataka,FAST FOOD,YES
Joyful Paestries,Joyful Paestries,No 1 1 14th Main Mico Layout,Yasaswi Tutorials J C Nagar,Basaveshwarnagar,Bangalore,560086,Karnataka,FAST FOOD,YES
Joyful Paestries,Joyful Paestries,Building No 2 Ground Floor,1st Main Road Shivanagar,Rajajinagar,Bangalore,560010,Karnataka,FAST FOOD,YES
New Balaji Traders,New Balaji Traders,Sn15 7 Shop No5 Pandhre Wasti Vardhaman Palm Rose,Punawale,Punawale,Pune,411033,Maharashtra,SUPER MARKET,YES
Pm Budh Vihar Hypermarket,Pm Budh Vihar Hypermarket,Ground Floor A 37 Main Kanjhawala Road Budh Vihar Phase 1,North West Delhi,New Delhi,New Delhi,110086,New Delhi,SUPER MARKET,YES
Lakshmi Caterers Fast Food,Lakshmi Caterers,Veehealth Tek,9th Floor Vyshnavi Cynosure,Gachibowli,Hyderabad1,500032,Telangana,CANTEEN / CATERERS,YES
Shizen Bliss Lab Llp,Shizen Bliss Lab Llp,Lg Soft India Pvt Ltd,Embassy Tech Square Cessna Business Park,Kadubeesanahalli,Bangalore,560103,Karnataka,CANTEEN / CATERERS,YES
Namma Maiky Annas Chicken Curry,Sneha Vijaya Kumar,Btm Layout Near Om Life Care Hospital,Marutinagar Main Road,Btm Layout,Bangalore,560029,Karnataka,FAST FOOD,YES
Namma Maiky Annas Chicken Curry,Sneha Vijaya Kumar,Phsase I Gollahalli Roashop No 2,Electronic City I,Electronic City I,Bangalore,560010,Karnataka,FAST FOOD,YES
The D Pizza,Ashvin Kishorbha,1  Ground Floor  Blue Eminence,Dandi Road,Jahangir Pura,Surat,395005,Gujarat,FAST FOOD,YES
The Village Food Darbar,The Village Food Darbar,Plot No 5 6 7 8,Mundra Seaport,Adani Port And Special Economic,Kachchh,370405,Gujarat,FAST FOOD,YES
Bong Pizza,The Maps,9 Parasar Road,Lake Market Kalighat,Lake Market,Kolkata,700029,West Bengal,FAST FOOD,YES
The Lake Palm Kalighat,The Maps,16 A Prince Golam Mohammed Road,Manoharpukur Kalighat,Kalighat,Kolkata,700029,West Bengal,FAST FOOD,YES
The Lake Palm Lake Market,The Maps,Kalighat Lake Market,Kalighat 9 Parasar Road,Lake Market,Kolkata,700029,West Bengal,FAST FOOD,YES
Village Market,Village Market,Ground And First Floor No 001 Gfl Sy No 329,J R Nexus Apartment Iggalur Naganaikanahalli Marasur,Chandapura Anekal Road,Bangalore,562106,Karnataka,SUPER MARKET,YES
Fresh Zone,Chanchalakshi,Conduent Business Services India Llp,No 40 Pattandur Agrahara,Whitefield,Bangalore,560066,Karnataka,CANTEEN / CATERERS,YES
Ramdev Kirana And General Store,Sunil Sirvi,Near Fusion School,Ameenapur,Sangareddy,Sangareddy,502032,Telangana,SUPER MARKET,YES
Maa Parmeshwari Daily Needs,Ashok Devangan,Shop No 7,Gulmohar Heights Near Lic Building,Hatkeshar 2,Dhamtari,493773,Chhattisgarh,SUPER MARKET,YES
Maa Parmeshwari Kirana And General Store,Ashok Devangan,Shop No 6 Gulmohar Heights,Near Lic Building Dhamtari,Hatkeshar 1,Dhamtari,493773,Chhattisgarh,SUPER MARKET,YES
Om Shree,Om Shree,A18,Heder Hat,Jamuna Nagar,Kolkata,700099,West Bengal,FAST FOOD,YES
Om Shree,Om Shree,87 A,Serpentine Lane,Entally,Kolkata,700014,West Bengal,FAST FOOD,YES
Mountain Bee Kombucha Hive,Kombucha Brewers India Private Limited,No 479 2nd Stage 2nd Main,Indiar Nagar,Hoysala Nagar,Bangalore,560038,Karnataka,FAST FOOD,YES
The Cult Terra House,Satguru Kitchens And Services Private Limited,Kad Wasti,Magarpatta,Hadapsar,Pune,411028,Maharashtra,FAST FOOD,YES
Venkatesh Kulfi And Falooda,Venkatesh Kulfi And Falooda,155 4 Ground Floor,B J Deorukhkar Marg Naigaon,Dadar East,Mumbai,400014,Maharashtra,FAST FOOD,YES
The D Pizza,Mm Foods And Co,First Floor 101 Hakimji Mall Nh 48 Besides 21 St Century Hospital Gidc,Hakimji Mall,Vapi Gidc,Vapi,396195,Gujarat,FAST FOOD,YES
The D Pizza,Viraaj Foods,3rd Floor Surya Corner Mehta Prasahala Road,Near Dawat Chowk,Jule,Solapur,413004,Maharashtra,FAST FOOD,YES
Shanti Dhaba And Restaurant,Sanjay Kale,Dharampuri,Indore Ujjain Road,Rajoda,Indore,453551,Madhya Pradesh,FAST FOOD,YES
The D Pizza,Mm Foods,First Floor 119 Laxmi Enclave Katargam,Laxmi Enclave,Katargam,Surat,395004,Gujarat,FAST FOOD,YES
Rm Noida 104 Hypermarket,Rm Noida 104 Hypermarket,Lower Ground Floor Jps Galleria Sector 104 Noida Gautam Budh Nagar,Gb Nagar,Sector 104,Noida,201301,Uttar Pradesh,SUPER MARKET,YES
Mr Biryani,Mahadev Enterprises,Kailash Nagar,Raithu Bazar,Old Gajuwaka,Vishakapatnam,530026,Andhra Pradesh,FAST FOOD,YES
Northin Hotel,Northin,176 Pulin Avenue,Malancha Belghari Express Way,Belgharia Express Way,Kolkata,700081,West Bengal,FAST FOOD,YES
Nourish,Northin,1st Floor 176 Pulin Avenue Malancha,Belghari Express Way,Belgharia Express Way,Kolkata,700081,West Bengal,FAST FOOD,YES
Nourish Xpress,Northin,Ground Floor 176 Pulin Avenue Malancha Belghari,Express Way,Belgharia Express Way,Kolkata,700081,West Bengal,FAST FOOD,YES
Nox Lounge,Northin,2nd Floor 176 Pulin,Avenue Malancha Belghari Express Way,Belgharia Express Way,Kolkata,700081,West Bengal,FAST FOOD,YES
Sm Vikas Puri Hypermarket,Sm Vikas Puri Hypermarket,Ground Floor F 123 Vikaspuri West Delhi,West Delhi,New Delhi,New Delhi,110018,New Delhi,SUPER MARKET,YES
Sambhrama Grocery Super Market,Tattva Retail Llp,Shop No 5 And 6 8 2,Kogilu Main Road,Yelahanka,Bangalore,560064,Karnataka,SUPER MARKET,YES
Sambhrama Grocery Super Market,Tattva Retail Llp,80 Feet Road Srinivasa Nagar,Bank Colony,Banashankari 1st Stage,Bangalore,560060,Karnataka,SUPER MARKET,YES
4 Seasons Bakery And Restaurant,Sathya Sai Foods,10 1 12,Krishna Kamal Enclave,Asilmetta,Visakhapatnam,530003,Andhra Pradesh,FAST FOOD,YES
Zam Zam Sweets,Zamco Foods,No 12 1,Tpk Road Madurai,Madurai,Madurai,625001,Tamil Nadu,FAST FOOD,YES
Zam Zam Sweets,Zamco Foods,No 26,Aruppukottai Main Road,Villapuram,Madurai,625012,Tamil Nadu,FAST FOOD,YES
Zam Zam Sweets,Zamco Foods,No 2a 1,Anna Nagar 2nd East Main Road,Anna Nagar,Madurai,625020,Tamil Nadu,FAST FOOD,YES
Farm Fresh Restaurant,The Byke Hospitality Limited,The Byke Majestic,Jain Temple Opposite Nakoda Dham Dhekale,Palghar,Palghar,401102,Maharashtra,FAST FOOD,YES
Farm Fresh Restaurant,The Byke Hospitality Limited,The Byke Skylark Seafront,Karde Dapoli,Dapoli,Ratnagiri,415713,Maharashtra,FAST FOOD,YES
Farm Fresh Restaurant,The Byke Hospitality Limited,The Byke Suresh Plaza,Ambad Trimurtichowk Link Road Kamatwade,Nashik,Nashik,422010,Maharashtra,FAST FOOD,YES
Farm Fresh Restaurant,The Byke Hospitality Limited,The Byke Grassfield,K107 Jan Path Kishan Nagar Shyam Nagar Jaipur,Jaipur,Jaipur,302019,Rajasthan,FAST FOOD,YES
Farm Fresh Restaurant,The Byke Hospitality Limited,The Byke Sunshine Grand 162 Thalayathimund Rd,Near Aavin Milk Dairy Thalayathimund,Ooty,Ooty,643001,Tamil Nadu,FAST FOOD,YES
Farm Fresh Restaurant,The Byke Hospitality Limited,The Byke Gokuldhaam,Bhardwaj Square Hashimpur Rd Tagore Town,Prayagraj,Prayagraj,211002,Uttar Pradesh,FAST FOOD,YES
Farm Fresh Restaurant ,The Byke Hospitality Limited,The Byke Om Celebration 2nd Flr Perfect Plaza,Beema Kunj Kolar Rd Sagar Kunj Shirdipuram,Kolar Rd Bhopal,Bhopal,462042,Madhya Pradesh,FAST FOOD,YES
Farm Fresh Restaurant ,The Byke Hospitality Limited,The Byke Hotel Mahakal Angan,73 Ravi Shankar Nagar Suraj Nagar,Ujjain,Ujjain,456006,Madhya Pradesh,FAST FOOD,YES
Farm Fresh Restaurant ,The Byke Hospitality Limited,The Byke Chandigarh House,Nh 46 Narmadapuram Road Samardha Illage,Bhopal,Bhopal,462046,Madhya Pradesh,FAST FOOD,YES
Farm Fresh Restaurant ,The Byke Hospitality Limited,The Byke Stella Boutique Hotel,Plot Number 1183 1184 Hare Krishna Vihar Nipani,Indore,Indore,452001,Madhya Pradesh,FAST FOOD,YES
Mitthas,The Byke Hospitality Limited,The Byke Suraj Plaza 2,Saibaba Vihar Complex Ghodbunder Rd Anand Nagar,Thane West,Thane,400615,Maharashtra,FAST FOOD,YES
Mitthas,The Byke Hospitality Limited,The Byke Studio Apartment,Saibaba Vihar Complex Ghodbunder Rd Anand Nagar,Thane West,Thane,400615,Maharashtra,FAST FOOD,YES
Zam Zam Sweets,Zamco Foods,No 5,Alagar Kovil Main Road K Pudur,K Pudur,Madurai,625007,Tamil Nadu,FAST FOOD,YES
Zam Zam Sweets,Zamco Foods,No 10 Aadhisivan Complex,Gst Man Road Thirunagar 3rd Street,Thirunagar,Madurai,625006,Tamil Nadu,FAST FOOD,YES
Zam Zam Sweets,Zamco Foods,No 2 401,Vasantha Nagar 2nd Street Palangantham,Palangantham,Madurai,625003,Tamil Nadu,FAST FOOD,YES
Zam Zam Sweets,Zamco Foods,No 138 B Shop No 2,Theni Main Road Kalavasal P P Chavadi Kalavasal,Kalavasal,Madurai,625016,Tamil Nadu,FAST FOOD,YES
Zam Zam Sweets,Zamco Foods,No 215,Sun Meena Towers Kamarajar Salai,Kamarajar Salai,Madurai,625009,Tamil Nadu,FAST FOOD,YES
Zam Zam Sweets,Zamco Foods,No 1 1 20,Anjal Nagar 3rd Street Periyar Nagar 1st Street Koodal Nagar,Koodal Nagar,Madurai,625018,Tamil Nadu,FAST FOOD,YES
Zam Zam Sweets,Zamco Foods,No 2 873,Bharathi Nagar Melur Main Road Y Othakadai,Y Othakadai,Madurai,625107,Tamil Nadu,FAST FOOD,YES
Zam Zam Sweets,Zamco Foods,No 3 194,Near Kappalur Tollgate Tirumangalam,Kappalur,Madurai,625008,Tamil Nadu,FAST FOOD,YES
Zam Zam Sweets,Zamco Foods,No 19,Rathinaswamy Nadar Road Bb Kulam,Bb Kulam,Madurai,625002,Tamil Nadu,FAST FOOD,YES
Zam Zam Sweets,Zamco Foods,No 27,P T Rajan Road Karpagam Medicals Narimedu,Narimedu,Madurai,625002,Tamil Nadu,FAST FOOD,YES
Zam Zam Sweets,Zamco Foods,Pllot No 1,Kodikulam 2nd Street Alagar Kovil Main Road Surya Nagar,Suryanagar,Madurai,625007,Tamil Nadu,FAST FOOD,YES
Zam Zam Sweets,Zamco Foods,No 274 1a,Kamarajar Nagar Street Echaneri Road Avaniapuram,Avaniapuram,Madurai,625012,Tamil Nadu,FAST FOOD,YES
Zam Zam Sweets,Zamco Foods,No 1a,Mgm Nagar Airport Road,Madurai,Madurai,625012,Tamil Nadu,FAST FOOD,YES
Zam Zam Sweets,Zamco Foods,No 12 1,Tpk Road Madurai,Madurai,Madurai,625001,Tamil Nadu,FAST FOOD,YES
Zam Zam Sweets,Zamco Foods,No 101 1,Maduraiyar Street Anmol Shoes,Ramanathapuram,Ramanathapuram,623504,Tamil Nadu,FAST FOOD,YES
Zam Zam Sweets,Zamco Foods,No 100,Maduraiyar Street Kenikarai,Kenikarai,Ramanathapuram,623504,Tamil Nadu,FAST FOOD,YES
Zam Zam Sweets,Zamco Foods,No 16,Devipattinam Road Near Bus Stand,Devipattinam,Ramanathapuram,623504,Tamil Nadu,FAST FOOD,YES
The D Pizza,Maitrak Foods,First Floor 101 106  Anchor Heights,Bhagdawada,Tithal Road,Valsad,396001,Gujarat,FAST FOOD,YES
Brekkie Foods Private Limited,Brekkie Foods Private Limited,Nike India Technology Center Pvt Ltd,No 66 1 Olympia Building Bagmane Tech Park,C V Raman Nagar,Bangalore,560093,Karnataka,CANTEEN / CATERERS,YES
Chillout Snacks Shop,Chillout Snacks Shop,Phase 2 Carnival Infopark,Infopark Campus,Kakkanad,Ernakulam,682030,Kerala,FAST FOOD,YES
Chillout Snacks Shop,Chillout Snacks Shop,Phase 4,Carnival Infopark,Kakkanad,Kochi,682042,Kerala,FAST FOOD,YES
Hk Pizzeria,Hk Pizzeria,Plot No 1c Shop No 1 And 2,Madhuban Park,Sorathiya Naka,Anjar,370110,Gujarat,FAST FOOD,YES
Desi Vdesi Restaurant,Vrushabh Ranjitsingh Rajput,G 2 Dhanlaxmi Chs Ltd,Laxmi Nagar Road No 11 Midc,Andheri East,Mumbai,400093,Maharashtra,FAST FOOD,YES
