OUTLET NAME,MERCHANT NAME,ADDRESS1,ADDRESS2,AREA,CITY,PINCODE,STATE,NEW CATEGORY,ENABLED WITH BQR CODE
Raja Departmental Store,Raja Departmental Store,Main Bazar,Machhiwara Sahib Tehsil Samrala,Ludhiana,Ludhiana,141115,Punjab,SUPER MARKET,YES
Annadatha Farm Vegetables And Fruits,Upparita Krishna Reddy,#8 9th Cross Kalappa Layout,Basavanagar,Basavanagar,Bangalore,560037,Karnataka,SUPER MARKET,YES
Season Fresh Daily Needs,Season Fresh Daily Needs,"21 Old No 62/1, Balagere Varthur Hobli",Varthur Post,Varthur Post,Bangalore,560087,Karnataka,SUPER MARKET,NO
Sri Eshwar Stores,Sri Eshwar Stores,"No 66/1, Lakshmipura Cross","Vaderahalli Layout, Vidyaranyapura",Vidyaranyapura,Bangalore,560097,Karnataka,SUPER MARKET,NO
Dus Minute Super Market,Indwell Retail Private Limited,"122, John F Welchtechnology Centre",Epip,Whitefield Road,Bangalore,560066,Karnataka,SUPER MARKET,YES
Talli Nation,Tribhuvan Leekha,"Gaikwad Wasti, Sr No 84/34, D-105 Koregaon Park Road",Nr Gaikwad Cng Gas Pump,Mundhwa,Pune,411036,Maharashtra,FAST FOOD,NO
New Aaijee Super Shopee,New Aaijee Super Shopee,"S Nm 14/14, Harshal Apartment, Shop No 3,","Vadgaon Budruk, Haveli,",Sinhagad Road,Pune,411041,Maharashtra,SUPER MARKET,YES
Skanda Mart,Skanda Mart,"No.139, 2nd Ward",Near Vijaya Circle Sandur,Kudlige Bellary Road,Bellary,583119,Karnataka,SUPER MARKET,NO
Khetalaji Super Shopee,Khetalaji Super Shopee,Subhashree Residential Phase 3,Shop No 9 Behind Jai Ganesh Vision,Akurdi,Pune,411035,Maharashtra,SUPER MARKET,NO
Gopala Super Market,Gopala Super Market,"Ganpati Ward, Near Sbi Bank",New Bustand Road Opp. Gopala Complex Ballarpur,Ganpati Ward,Chandrapur,442701,Maharashtra,SUPER MARKET,YES
Dry Fruits House,Noori Traders,No 4 Slv Arcade Ground Floor,Opp Dmart Super Market Bagalur Road,Hennur,Bangalore,560043,Karnataka,SWEETS /BAKERIES / DRY FRUITS / DAIRY PRODUCTS/  OTHERS,YES
Shivshankar Market,Dariya Vijaykumar Choudhary,Datta Apartment S No 19/3 Shop No 1 And 2,Sinhagad Road Dhayari,Sinhagad Road,Pune,411041,Maharashtra,SUPER MARKET,YES
Subway,Delight Foods,"1 Samar Paradise, Dp Road",Opp. Sai Shree Hospital,Aundh,Pune,411007,Maharashtra,FAST FOOD,YES
Subway,Delight Foods,"Shop No 10, Sf-2, Westend Mall",Near Parihar Chowk Aundh,Near Parihar Chowk,Pune,411007,Maharashtra,FAST FOOD,YES
P Mart,P Mart,Oparishram Arcade Jail Chowk  Road,Sarvaiya Street,Jail Chowk,Gondal,360311,Gujarat,SUPER MARKET,YES
Hazel Nut Jpmc Solitair,Hazel Nut,Jpmc Solitair 7th Floor,Solitair Block Knowledge City,Knowledge City Hitech City,Hyderabad,500081,Telangana,CANTEEN / CATERERS,NO
